Date,Date with day,Date without day,Price-open,Price-high,Price-low,Price-close,Price-adj Close,Year,Month and year,Month,Month and day,Day (number),Day (name),Volume ($),Market cap ($),Hash rate (TH/s),Total circulating Bitcoins,Blockchain size (MB),Confirmed transactions,On this day
2009-01-03,"Saturday, January 3, 2009","January 3, 2009",0,0,0,0,0,2009,January 2009,January ,January 3, 3, Saturday,0,0,0.00000004971026963,50,0.000285,0,"Bitcoin is born. Satoshi Nakamoto launches the Bitcoin network and mines the genesis block, in which he embeds a title from the British newspaper, The Times: ""The Times 03/Jan/2009 Chancellor on brink of second bailout for banks""."
2009-01-04,"Sunday, January 4, 2009","January 4, 2009",0,0,0,0,0,2009,January 2009,January ,January 4, 4, Sunday,0,0,0,50,0.000357,0,
2009-01-05,"Monday, January 5, 2009","January 5, 2009",0,0,0,0,0,2009,January 2009,January ,January 5, 5, Monday,0,0,0,50,0.000429,0,
2009-01-06,"Tuesday, January 6, 2009","January 6, 2009",0,0,0,0,0,2009,January 2009,January ,January 6, 6, Tuesday,0,0,0,50,0.000501,0,
2009-01-07,"Wednesday, January 7, 2009","January 7, 2009",0,0,0,0,0,2009,January 2009,January ,January 7, 7, Wednesday,0,0,0,50,0.000573,0,
2009-01-08,"Thursday, January 8, 2009","January 8, 2009",0,0,0,0,0,2009,January 2009,January ,January 8, 8, Thursday,0,0,0,50,0.000645,0,
2009-01-09,"Friday, January 9, 2009","January 9, 2009",0,0,0,0,0,2009,January 2009,January ,January 9, 9, Friday,0,0,0.0000006959437748,50,0.000715,0,
2009-01-10,"Saturday, January 10, 2009","January 10, 2009",0,0,0,0,0,2009,January 2009,January ,January 10, 10, Saturday,0,0,0.000001541018359,50,0.003725,0,
2009-01-11,"Sunday, January 11, 2009","January 11, 2009",0,0,0,0,0,2009,January 2009,January ,January 11, 11, Sunday,0,0,0.000005269288581,50,0.016639,0,
2009-01-12,"Monday, January 12, 2009","January 12, 2009",0,0,0,0,0,2009,January 2009,January ,January 12, 12, Monday,0,0,0.000004424213997,9050,0.036672,1,"The first ever Bitcoin transaction was made. On this day, Satoshi Nakamoto, the pseudonymous creator of the Bitcoin system, sent Hal Finney, a well-regarded cryptographer and computer scientist, 10 bitcoin!"
2009-01-13,"Tuesday, January 13, 2009","January 13, 2009",0,0,0,0,0,2009,January 2009,January ,January 13, 13, Tuesday,0,0,0.000005716681007,18050,0.058704,0,
2009-01-14,"Wednesday, January 14, 2009","January 14, 2009",0,0,0,0,0,2009,January 2009,January ,January 14, 14, Wednesday,0,0,0.000006263493973,18050,0.085231,0,
2009-01-15,"Thursday, January 15, 2009","January 15, 2009",0,0,0,0,0,2009,January 2009,January ,January 15, 15, Thursday,0,0,0.000006313204243,27050,0.113507,0,
2009-01-16,"Friday, January 16, 2009","January 16, 2009",0,0,0,0,0,2009,January 2009,January ,January 16, 16, Friday,0,0,0.000005766391277,36050,0.143568,0,
2009-01-17,"Saturday, January 17, 2009","January 17, 2009",0,0,0,0,0,2009,January 2009,January ,January 17, 17, Saturday,0,0,0.00000536870912,36050,0.167422,109,
2009-01-18,"Sunday, January 18, 2009","January 18, 2009",0,0,0,0,0,2009,January 2009,January ,January 18, 18, Sunday,0,0,0.000005020737233,45050,0.19095,108,
2009-01-19,"Monday, January 19, 2009","January 19, 2009",0,0,0,0,0,2009,January 2009,January ,January 19, 19, Monday,0,0,0.000005915522086,45050,0.214484,117,
2009-01-20,"Tuesday, January 20, 2009","January 20, 2009",0,0,0,0,0,2009,January 2009,January ,January 20, 20, Tuesday,0,0,0.000005766391277,54050,0.241267,115,
2009-01-21,"Wednesday, January 21, 2009","January 21, 2009",0,0,0,0,0,2009,January 2009,January ,January 21, 21, Wednesday,0,0,0.000005617260468,63050,0.266886,105,
2009-01-22,"Thursday, January 22, 2009","January 22, 2009",0,0,0,0,0,2009,January 2009,January ,January 22, 22, Thursday,0,0,0.000003728270222,63050,0.290623,90,
2009-01-23,"Friday, January 23, 2009","January 23, 2009",0,0,0,0,0,2009,January 2009,January ,January 23, 23, Friday,0,0,0.000003330588065,72050,0.310038,86,
2009-01-24,"Saturday, January 24, 2009","January 24, 2009",0,0,0,0,0,2009,January 2009,January ,January 24, 24, Saturday,0,0,0.000009892343656,81050,0.329295,202,
2009-01-25,"Sunday, January 25, 2009","January 25, 2009",0,0,0,0,0,2009,January 2009,January ,January 25, 25, Sunday,0,0,0.000009643792308,90050,0.373929,192,
2009-01-26,"Monday, January 26, 2009","January 26, 2009",0,0,0,0,0,2009,January 2009,January ,January 26, 26, Monday,0,0,0.000005766391277,90050,0.415376,97,
2009-01-27,"Tuesday, January 27, 2009","January 27, 2009",0,0,0,0,0,2009,January 2009,January ,January 27, 27, Tuesday,0,0,0.000005120157772,99050,0.438411,98,
2009-01-28,"Wednesday, January 28, 2009","January 28, 2009",0,0,0,0,0,2009,January 2009,January ,January 28, 28, Wednesday,0,0,0.000005120157772,108050,0.459781,112,
2009-01-29,"Thursday, January 29, 2009","January 29, 2009",0,0,0,0,0,2009,January 2009,January ,January 29, 29, Thursday,0,0,0.000006064652895,108050,0.483934,122,
2009-01-30,"Friday, January 30, 2009","January 30, 2009",0,0,0,0,0,2009,January 2009,January ,January 30, 30, Friday,0,0,0.000006014942625,117100,0.511432,117,
2009-01-31,"Saturday, January 31, 2009","January 31, 2009",0,0,0,0,0,2009,January 2009,January ,January 31, 31, Saturday,0,0,0.000006412624782,126150,0.536688,139,
2009-02-01,"Sunday, February 1, 2009","February 1, 2009",0,0,0,0,0,2009,February 2009,February ,February 1, 1, Sunday,0,0,0.000005766391277,126150,0.568769,114,
2009-02-02,"Monday, February 2, 2009","February 2, 2009",0,0,0,0,0,2009,February 2009,February ,February 2, 2, Monday,0,0,0.000006313204243,135150,0.593426,129,
2009-02-03,"Tuesday, February 3, 2009","February 3, 2009",0,0,0,0,0,2009,February 2009,February ,February 3, 3, Tuesday,0,0,0.00000676059667,144150,0.621214,155,
2009-02-04,"Wednesday, February 4, 2009","February 4, 2009",0,0,0,0,0,2009,February 2009,February ,February 4, 4, Wednesday,0,0,0.000006114363164,144150,0.655754,119,
2009-02-05,"Thursday, February 5, 2009","February 5, 2009",0,0,0,0,0,2009,February 2009,February ,February 5, 5, Thursday,0,0,0.000006014942625,153150,0.681427,126,
2009-02-06,"Friday, February 6, 2009","February 6, 2009",0,0,0,0,0,2009,February 2009,February ,February 6, 6, Friday,0,0,0.000006412624782,162150,0.708609,122,
2009-02-07,"Saturday, February 7, 2009","February 7, 2009",0,0,0,0,0,2009,February 2009,February ,February 7, 7, Saturday,0,0,0.000006263493973,162150,0.734941,133,
2009-02-08,"Sunday, February 8, 2009","February 8, 2009",0,0,0,0,0,2009,February 2009,February ,February 8, 8, Sunday,0,0,0.00000666117613,171150,0.765941,133,
2009-02-09,"Monday, February 9, 2009","February 9, 2009",0,0,0,0,0,2009,February 2009,February ,February 9, 9, Monday,0,0,0.000006362914513,180150,0.794661,135,
2009-02-10,"Tuesday, February 10, 2009","February 10, 2009",0,0,0,0,0,2009,February 2009,February ,February 10, 10, Tuesday,0,0,0.000006313204243,189150,0.828643,120,
2009-02-11,"Wednesday, February 11, 2009","February 11, 2009",0,0,0,0,0,2009,February 2009,February ,February 11, 11, Wednesday,0,0,0.000006512045321,189150,0.854524,135,
2009-02-12,"Thursday, February 12, 2009","February 12, 2009",0,0,0,0,0,2009,February 2009,February ,February 12, 12, Thursday,0,0,0.000005865811816,198150,0.884998,119,
2009-02-13,"Friday, February 13, 2009","February 13, 2009",0,0,0,0,0,2009,February 2009,February ,February 13, 13, Friday,0,0,0.000006164073434,207200,0.910687,124,
2009-02-14,"Saturday, February 14, 2009","February 14, 2009",0,0,0,0,0,2009,February 2009,February ,February 14, 14, Saturday,0,0,0.000007009148018,207200,0.937458,136,
2009-02-15,"Sunday, February 15, 2009","February 15, 2009",0,0,0,0,0,2009,February 2009,February ,February 15, 15, Sunday,0,0,0.000006064652895,216200,0.966805,131,
2009-02-16,"Monday, February 16, 2009","February 16, 2009",0,0,0,0,0,2009,February 2009,February ,February 16, 16, Monday,0,0,0.000006114363164,225200,0.996166,123,
2009-02-17,"Tuesday, February 17, 2009","February 17, 2009",0,0,0,0,0,2009,February 2009,February ,February 17, 17, Tuesday,0,0,0.000005865811816,234200,1.025956,117,
2009-02-18,"Wednesday, February 18, 2009","February 18, 2009",0,0,0,0,0,2009,February 2009,February ,February 18, 18, Wednesday,0,0,0.000006164073434,234200,1.051216,118,
2009-02-19,"Thursday, February 19, 2009","February 19, 2009",0,0,0,0,0,2009,February 2009,February ,February 19, 19, Thursday,0,0,0.000005816101547,243200,1.076697,125,
2009-02-20,"Friday, February 20, 2009","February 20, 2009",0,0,0,0,0,2009,February 2009,February ,February 20, 20, Friday,0,0,0.000006362914513,252200,1.105347,122,
2009-02-21,"Saturday, February 21, 2009","February 21, 2009",0,0,0,0,0,2009,February 2009,February ,February 21, 21, Saturday,0,0,0.000005468129659,252200,1.131681,114,
2009-02-22,"Sunday, February 22, 2009","February 22, 2009",0,0,0,0,0,2009,February 2009,February ,February 22, 22, Sunday,0,0,0.000006014942625,261200,1.156301,125,
2009-02-23,"Monday, February 23, 2009","February 23, 2009",0,0,0,0,0,2009,February 2009,February ,February 23, 23, Monday,0,0,0.00000531899885,261200,1.183955,108,
2009-02-24,"Tuesday, February 24, 2009","February 24, 2009",0,0,0,0,0,2009,February 2009,February ,February 24, 24, Tuesday,0,0,0.000005517839929,270200,1.207282,106,
