Pclass,Name,Age,Fare,S,C,Q,Family size,Sex,IsAlone,Survived
3,2,-0.596719725,7.25,1,0,0,1,1,0,0
1,3,0.63380624,71.2833,0,1,0,1,0,0,1
3,1,-0.289088234,7.925,1,0,0,0,0,1,1
1,3,0.403082621,53.1,1,0,0,1,0,0,1
3,2,0.403082621,8.05,1,0,0,0,1,1,0
3,2,0.018543257,8.4583,0,0,1,0,1,1,0
1,2,1.864332205,51.8625,1,0,0,0,1,1,0
3,0,-2.134877182,21.075,1,0,0,4,1,0,0
3,3,-0.212180361,11.1333,1,0,0,2,0,0,1
2,3,-1.211982708,30.0708,0,1,0,1,0,0,1
3,1,-1.981061436,16.7,1,0,0,2,0,0,1
1,1,2.171963696,26.55,1,0,0,0,0,1,1
3,2,-0.750535471,8.05,1,0,0,0,1,1,0
3,2,0.710714113,31.275,1,0,0,6,1,0,0
3,1,-1.211982708,7.8542,1,0,0,0,0,1,0
2,3,1.941240078,16,1,0,0,0,0,1,1
3,0,-2.134877182,29.125,0,0,1,5,1,0,0
2,2,0.018543257,13,1,0,0,0,1,1,1
3,3,0.09545113,18,1,0,0,1,0,0,0
3,3,0.018543257,7.225,0,1,0,0,0,1,1
2,2,0.403082621,26,1,0,0,0,1,1,0
2,2,0.326174749,13,1,0,0,0,1,1,1
3,1,-1.135074835,8.0292,0,0,1,0,0,1,1
1,2,-0.135272488,35.5,1,0,0,0,1,1,1
3,1,-1.673429945,21.075,1,0,0,4,0,0,0
3,3,0.63380624,31.3875,1,0,0,6,0,0,1
3,2,0.018543257,7.225,0,1,0,0,1,1,0
1,2,-0.827443344,263,1,0,0,5,1,0,0
3,1,0.018543257,7.8792,0,0,1,0,0,1,1
3,2,0.018543257,7.8958,1,0,0,0,1,1,0
1,4,0.787621985,27.7208,0,1,0,0,1,1,0
1,3,0.018543257,146.5208,0,1,0,1,0,0,1
3,1,0.018543257,7.75,0,0,1,0,0,1,1
2,2,2.787226679,10.5,1,0,0,0,1,1,0
1,2,-0.135272488,82.1708,0,1,0,1,1,0,0
1,2,0.941437731,52,1,0,0,1,1,0,0
3,2,0.018543257,7.2292,0,1,0,0,1,1,1
3,2,-0.673627598,8.05,1,0,0,0,1,1,0
3,1,-0.904351217,18,1,0,0,2,0,0,0
3,1,-1.211982708,11.2417,0,1,0,1,0,0,1
3,3,0.787621985,9.475,1,0,0,1,0,0,0
2,3,-0.212180361,21,1,0,0,1,0,0,0
3,2,0.018543257,7.8958,0,1,0,0,1,1,0
2,1,-2.057969309,41.5792,0,1,0,3,0,0,1
3,1,-0.827443344,7.8792,0,0,1,0,0,1,1
3,2,0.018543257,8.05,1,0,0,0,1,1,0
3,2,0.018543257,15.5,0,0,1,1,1,0,0
3,1,0.018543257,7.75,0,0,1,0,0,1,1
3,2,0.018543257,21.6792,0,1,0,2,1,0,0
3,3,-0.904351217,17.8,1,0,0,1,0,0,0
3,0,-1.750337818,39.6875,1,0,0,5,1,0,0
3,2,-0.673627598,7.8,1,0,0,0,1,1,0
1,3,1.479792841,76.7292,0,1,0,1,0,0,1
2,3,-0.058364616,26,1,0,0,1,0,0,1
1,2,2.710318806,61.9792,0,1,0,1,1,0,0
1,2,0.018543257,35.5,1,0,0,0,1,1,1
2,1,-0.673627598,10.5,1,0,0,0,0,1,1
3,2,-0.096818552,7.2292,0,1,0,0,1,1,0
2,1,-1.904153563,27.75,1,0,0,3,0,0,1
3,0,-1.442706327,46.9,1,0,0,7,1,0,0
3,2,-0.596719725,7.2292,0,1,0,0,1,1,0
1,1,0.63380624,80,1,0,0,0,0,1,1
1,2,1.17216135,83.475,1,0,0,1,1,0,0
3,0,-1.981061436,27.9,1,0,0,5,1,0,0
1,2,0.018543257,27.7208,0,1,0,0,1,1,0
3,0,0.018543257,15.2458,0,1,0,2,1,0,1
2,3,-0.058364616,10.5,1,0,0,0,0,1,1
3,2,-0.827443344,8.1583,1,0,0,0,1,1,0
3,1,-0.98125909,7.925,1,0,0,6,0,0,1
3,2,-0.289088234,8.6625,1,0,0,2,1,0,0
2,2,0.172359003,10.5,1,0,0,0,1,1,0
3,1,-1.058166962,46.9,1,0,0,7,0,0,0
2,2,-0.673627598,73.5,1,0,0,0,1,1,0
3,2,-0.289088234,14.4542,0,1,0,1,1,0,0
3,2,0.172359003,56.4958,1,0,0,0,1,1,1
3,2,-0.365996107,7.65,1,0,0,0,1,1,0
3,2,0.018543257,7.8958,1,0,0,0,1,1,0
3,2,0.018543257,8.05,1,0,0,0,1,1,0
2,0,-2.224859393,29,1,0,0,2,1,0,1
3,1,0.018543257,12.475,1,0,0,0,0,1,1
3,2,-0.596719725,9,1,0,0,0,1,1,0
3,2,-0.058364616,9.5,1,0,0,0,1,1,1
3,1,0.018543257,7.7875,0,0,1,0,0,1,1
1,2,-0.135272488,47.1,1,0,0,0,1,1,0
2,1,-0.98125909,10.5,1,0,0,0,0,1,1
3,3,0.249266876,15.85,1,0,0,3,0,0,1
3,2,-1.058166962,34.375,1,0,0,4,1,0,0
3,2,0.018543257,8.05,1,0,0,0,1,1,0
1,1,-0.519811853,263,1,0,0,5,0,0,1
3,2,-0.44290398,8.05,1,0,0,0,1,1,0
3,2,-0.058364616,8.05,1,0,0,0,1,1,0
3,2,-0.750535471,7.8542,1,0,0,0,1,1,0
1,2,1.249069222,61.175,1,0,0,1,1,0,0
3,2,-0.289088234,20.575,1,0,0,3,1,0,0
3,2,2.248871569,7.25,1,0,0,0,1,1,0
3,2,0.018543257,8.05,1,0,0,0,1,1,0
1,2,3.171766043,34.6542,0,1,0,0,1,1,0
1,2,-0.519811853,63.3583,0,1,0,1,1,0,1
2,3,0.326174749,23,1,0,0,1,0,0,1
2,2,0.326174749,26,1,0,0,1,1,0,0
3,1,-0.135272488,7.8958,1,0,0,0,0,1,0
3,2,0.018543257,7.8958,1,0,0,0,1,1,0
1,2,-0.673627598,77.2875,1,0,0,1,1,0,0
3,2,0.249266876,8.6542,1,0,0,0,1,1,0
3,2,0.556898367,7.925,1,0,0,2,1,0,0
3,2,-0.135272488,7.8958,1,0,0,0,1,1,0
3,1,-0.673627598,7.65,1,0,0,0,0,1,1
3,2,0.018543257,7.775,1,0,0,0,1,1,1
3,2,0.63380624,7.8958,1,0,0,0,1,1,0
3,1,0.018543257,24.15,0,0,1,1,0,0,1
1,2,1.325977095,52,1,0,0,0,1,1,0
3,1,-1.173528772,14.4542,0,1,0,1,0,0,0
3,2,-0.596719725,8.05,1,0,0,0,1,1,0
3,1,-0.750535471,9.825,1,0,0,1,0,0,0
3,1,-0.98125909,14.4583,0,1,0,0,0,1,0
3,2,-0.673627598,7.925,1,0,0,0,1,1,0
3,2,3.133312107,7.75,0,0,1,0,1,1,0
2,2,-0.058364616,21,1,0,0,1,1,0,0
1,2,-0.44290398,247.5208,0,1,0,1,1,0,0
3,1,-2.134877182,31.275,1,0,0,6,0,0,0
2,2,-0.673627598,73.5,1,0,0,2,1,0,0
3,2,0.018543257,8.05,1,0,0,0,1,1,0
2,2,0.210812939,30.0708,0,1,0,1,1,0,0
2,1,0.210812939,13,1,0,0,0,0,1,1
1,2,1.864332205,77.2875,1,0,0,1,1,0,0
3,0,-1.365798454,11.2417,0,1,0,1,1,0,1
3,2,0.018543257,7.75,0,0,1,0,1,1,0
3,2,-0.44290398,7.1417,1,0,0,0,1,1,1
3,1,0.018543257,22.3583,0,1,0,2,0,0,1
3,2,1.17216135,6.975,1,0,0,0,1,1,0
3,2,0.249266876,7.8958,0,1,0,0,1,1,0
3,2,-0.750535471,7.05,1,0,0,0,1,1,0
3,3,1.325977095,14.5,1,0,0,1,0,0,0
2,3,-0.058364616,26,1,0,0,1,0,0,1
2,2,-0.365996107,13,1,0,0,0,1,1,0
2,2,-0.519811853,15.0458,0,1,0,0,1,1,0
1,1,-0.827443344,26.2833,1,0,0,2,0,0,1
1,2,0.556898367,53.1,1,0,0,1,1,0,0
3,2,-1.058166962,9.2167,1,0,0,0,1,1,0
1,2,-0.44290398,79.2,0,1,0,0,1,1,0
3,3,0.018543257,15.2458,0,1,0,2,0,0,0
3,1,-0.596719725,7.75,1,0,0,0,0,1,1
3,3,-0.44290398,15.85,1,0,0,1,0,0,1
3,2,-0.827443344,6.75,0,0,1,0,1,1,0
2,2,-0.904351217,11.5,1,0,0,0,1,1,0
2,2,-0.827443344,36.75,1,0,0,2,1,0,0
3,2,-0.212180361,7.7958,1,0,0,0,1,1,1
3,1,-1.596522072,34.375,1,0,0,4,0,0,0
2,2,0.518444431,26,1,0,0,2,1,0,0
2,4,0.941437731,13,1,0,0,0,1,1,0
2,4,1.633608587,12.525,1,0,0,0,1,1,0
1,3,-0.596719725,66.6,1,0,0,1,0,0,1
3,2,1.979694014,8.05,1,0,0,0,1,1,0
3,2,0.826075922,14.5,1,0,0,2,1,0,0
3,2,0.018543257,7.3125,1,0,0,0,1,1,0
1,2,1.633608587,61.3792,0,1,0,1,1,0,0
3,1,-1.058166962,7.7333,0,0,1,0,0,1,1
3,2,0.018543257,8.05,1,0,0,0,1,1,0
3,2,0.018543257,8.6625,1,0,0,0,1,1,0
3,0,0.018543257,69.55,1,0,0,10,1,0,0
3,2,1.095253477,16.1,1,0,0,1,1,0,0
2,3,0.787621985,15.75,1,0,0,0,0,1,1
3,2,-0.289088234,7.775,1,0,0,0,1,1,0
3,2,-0.98125909,8.6625,1,0,0,0,1,1,0
3,0,-2.211785055,39.6875,1,0,0,5,1,0,0
3,0,-1.596522072,20.525,1,0,0,2,1,0,1
1,3,0.018543257,55,1,0,0,1,0,0,1
3,3,1.17216135,27.9,1,0,0,5,0,0,0
1,2,0.018543257,25.925,1,0,0,0,1,1,0
3,2,-0.135272488,56.4958,1,0,0,0,1,1,0
1,2,2.402687315,33.5,1,0,0,0,1,1,0
3,0,-1.981061436,29.125,0,0,1,5,1,0,0
3,1,-2.211785055,11.1333,1,0,0,2,0,0,1
3,2,-0.673627598,7.925,1,0,0,0,1,1,0
1,2,2.018147951,30.6958,0,1,0,0,1,1,0
3,2,-0.904351217,7.8542,1,0,0,2,1,0,0
3,0,0.018543257,25.4667,1,0,0,4,1,0,0
1,1,1.556700714,28.7125,0,1,0,0,0,1,0
2,2,0.018543257,13,1,0,0,0,1,1,0
3,2,0.479990494,14.45,1,0,0,0,1,1,0
3,1,0.018543257,69.55,1,0,0,10,0,0,0
2,2,0.018543257,15.05,0,1,0,0,1,1,0
3,0,-1.596522072,31.3875,1,0,0,6,1,0,0
2,0,-2.211785055,39,1,0,0,3,1,0,1
3,1,-1.981061436,22.025,1,0,0,2,0,0,1
1,2,0.018543257,50,1,0,0,0,1,1,0
3,3,0.018543257,15.5,0,0,1,1,0,0,1
1,2,1.17216135,26.55,1,0,0,0,1,1,1
3,2,0.787621985,15.5,0,0,1,2,1,0,0
3,2,0.479990494,7.8958,1,0,0,0,1,1,0
2,3,0.172359003,13,1,0,0,0,0,1,1
2,2,-0.827443344,13,1,0,0,0,1,1,0
3,1,-0.827443344,7.8542,1,0,0,1,0,0,1
2,0,-2.057969309,26,1,0,0,2,1,0,1
1,3,1.095253477,27.7208,0,1,0,0,0,1,1
1,1,2.171963696,146.5208,0,1,0,0,0,1,1
3,2,0.018543257,7.75,0,0,1,0,1,1,0
3,2,0.941437731,8.4042,1,0,0,1,1,0,0
3,1,0.018543257,7.75,0,0,1,0,0,1,1
2,1,-0.44290398,13,1,0,0,0,0,1,0
3,2,-0.135272488,9.5,1,0,0,0,1,1,0
3,2,0.018543257,69.55,1,0,0,10,1,0,0
3,2,0.326174749,6.4958,1,0,0,0,1,1,0
3,2,1.210615286,7.225,0,1,0,0,1,1,0
3,2,-0.904351217,8.05,1,0,0,0,1,1,1
3,1,-2.134877182,10.4625,1,0,0,1,0,0,0
3,2,0.172359003,15.85,1,0,0,1,1,0,0
3,2,-0.289088234,18.7875,0,1,0,0,1,1,1
3,1,-1.058166962,7.75,0,0,1,0,0,1,1
1,2,0.787621985,31,0,1,0,0,1,1,1
3,2,-0.44290398,7.05,1,0,0,0,1,1,0
2,1,0.403082621,21,1,0,0,0,0,1,1
3,2,-0.596719725,7.25,1,0,0,0,1,1,0
2,2,0.018543257,13,1,0,0,0,1,1,0
3,2,0.018543257,7.75,0,0,1,1,1,0,0
1,1,0.09545113,113.275,0,1,0,1,0,0,1
3,1,-0.212180361,7.925,1,0,0,0,0,1,1
2,2,0.941437731,27,1,0,0,1,1,0,0
1,1,0.172359003,76.2917,0,1,0,0,0,1,1
2,2,0.018543257,10.5,1,0,0,0,1,1,0
3,2,-1.058166962,8.05,1,0,0,0,1,1,1
2,2,-0.212180361,13,1,0,0,0,1,1,0
3,2,1.633608587,8.05,1,0,0,0,1,1,0
3,2,0.018543257,7.8958,1,0,0,0,1,1,0
1,2,0.63380624,90,1,0,0,1,1,0,1
3,2,-0.596719725,9.35,1,0,0,0,1,1,0
2,2,-0.827443344,10.5,1,0,0,0,1,1,1
3,2,-0.712081535,7.25,1,0,0,0,1,1,0
2,2,-0.904351217,13,1,0,0,0,1,1,0
3,1,0.018543257,25.4667,1,0,0,4,0,0,0
1,3,0.403082621,83.475,1,0,0,1,0,0,1
3,2,-0.058364616,7.775,1,0,0,0,1,1,0
2,2,2.248871569,13.5,1,0,0,0,1,1,0
3,1,-1.904153563,31.3875,1,0,0,6,0,0,1
2,2,-0.44290398,10.5,1,0,0,0,1,1,0
3,1,0.018543257,7.55,1,0,0,0,0,1,0
2,2,1.095253477,26,1,0,0,1,1,0,0
2,1,-1.673429945,26.25,1,0,0,2,0,0,1
2,2,-0.827443344,10.5,1,0,0,0,1,1,0
2,2,0.249266876,12.275,1,0,0,0,1,1,0
3,1,0.018543257,14.4542,0,1,0,1,0,0,0
3,1,0.018543257,15.5,0,0,1,1,0,0,1
2,2,-0.058364616,10.5,1,0,0,0,1,1,0
3,2,-0.596719725,7.125,1,0,0,0,1,1,0
3,2,0.018543257,7.225,0,1,0,0,1,1,0
1,4,1.095253477,90,0,0,1,2,1,0,0
